EASERA 1.0, Results of Data:   u_ABS_2_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	3,70            	4,93            	4,81            	5,40            	
125 Hz    	s	4,90            	5,22            	5,16            	5,50            	
160 Hz    	s	4,68            	4,70            	4,53            	4,82            	
200 Hz    	s	4,21            	4,61            	4,73            	5,20            	
250 Hz    	s	4,57            	5,51            	5,25            	5,30            	
315 Hz    	s	4,75            	5,41            	5,27            	5,18            	
400 Hz    	s	5,07            	4,65            	4,82            	4,97            	
500 Hz    	s	4,44            	4,77            	4,63            	4,56            	
630 Hz    	s	4,26            	4,98            	4,93            	4,91            	
800 Hz    	s	4,93            	4,70            	4,79            	4,86            	
1000 Hz   	s	4,55            	4,57            	4,49            	4,61            	
1250 Hz   	s	4,11            	4,35            	4,25            	4,24            	
1600 Hz   	s	3,87            	3,93            	3,81            	3,82            	
2000 Hz   	s	3,78            	3,53            	3,58            	3,58            	
2500 Hz   	s	3,33            	3,44            	3,42            	3,45            	
3150 Hz   	s	3,29            	2,91            	2,96            	3,01            	
4000 Hz   	s	2,76            	2,51            	2,60            	2,66            	
5000 Hz   	s	2,10            	2,26            	2,22            	2,22            	
6300 Hz   	s	1,83            	1,68            	1,70            	1,75            	
8000 Hz   	s	1,37            	1,25            	1,31            	1,35            	
10000 Hz  	s	0,96            	0,99            	1,01            	1,01            	
250Hz-2kHz	s	4,32            	4,54            	4,50            	4,56            	
500Hz-4kHz	s	3,87            	3,88            	3,87            	3,91            	

