EASERA 1.0, Results of Data:   m_ABS_1_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	3,13            	2,45            	2,88            	3,53            	
125 Hz    	s	3,66            	3,39            	3,42            	3,42            	
160 Hz    	s	2,87            	3,00            	3,38            	3,67            	
200 Hz    	s	3,21            	3,49            	3,20            	3,29            	
250 Hz    	s	3,08            	3,04            	3,32            	3,19            	
315 Hz    	s	2,79            	3,42            	3,41            	3,38            	
400 Hz    	s	2,77            	3,29            	3,15            	3,18            	
500 Hz    	s	2,65            	2,84            	3,04            	3,05            	
630 Hz    	s	3,17            	2,74            	2,79            	2,93            	
800 Hz    	s	3,12            	2,94            	2,89            	2,85            	
1000 Hz   	s	2,74            	2,88            	2,88            	2,77            	
1250 Hz   	s	2,48            	2,64            	2,54            	2,56            	
1600 Hz   	s	2,40            	2,71            	2,60            	2,49            	
2000 Hz   	s	2,40            	2,51            	2,51            	2,43            	
2500 Hz   	s	2,33            	2,28            	2,36            	2,32            	
3150 Hz   	s	2,28            	2,27            	2,13            	2,12            	
4000 Hz   	s	1,94            	2,05            	2,01            	1,98            	
5000 Hz   	s	1,78            	1,75            	1,79            	1,78            	
6300 Hz   	s	1,41            	1,44            	1,51            	1,54            	
8000 Hz   	s	1,17            	1,13            	1,19            	1,20            	
10000 Hz  	s	0,85            	0,84            	0,92            	0,92            	
250Hz-2kHz	s	2,76            	2,90            	2,89            	2,87            	
500Hz-4kHz	s	2,50            	2,58            	2,56            	2,54            	

