EASERA 1.0, Results of Data:   m_ABS_Wall_8_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	3,16            	3,25            	3,52            	3,82            	
125 Hz    	s	3,01            	3,03            	3,09            	3,57            	
160 Hz    	s	2,69            	2,89            	3,26            	5,08            	
200 Hz    	s	3,20            	3,53            	3,33            	4,05            	
250 Hz    	s	3,40            	3,54            	3,18            	3,81            	
315 Hz    	s	2,98            	2,92            	3,30            	3,44            	
400 Hz    	s	2,75            	2,89            	3,51            	3,64            	
500 Hz    	s	2,82            	2,51            	3,09            	3,08            	
630 Hz    	s	2,82            	2,57            	2,93            	3,01            	
800 Hz    	s	3,54            	3,10            	3,04            	3,02            	
1000 Hz   	s	2,74            	2,78            	2,83            	2,84            	
1250 Hz   	s	2,69            	2,31            	2,69            	2,65            	
1600 Hz   	s	2,23            	2,85            	2,76            	2,63            	
2000 Hz   	s	2,38            	2,57            	2,46            	2,43            	
2500 Hz   	s	2,29            	2,35            	2,36            	2,33            	
3150 Hz   	s	2,24            	2,29            	2,19            	2,21            	
4000 Hz   	s	1,94            	1,91            	1,99            	2,02            	
5000 Hz   	s	1,70            	1,67            	1,71            	1,78            	
6300 Hz   	s	1,45            	1,51            	1,44            	1,44            	
8000 Hz   	s	1,09            	1,10            	1,14            	1,16            	
10000 Hz  	s	0,86            	0,86            	0,89            	0,90            	
250Hz-2kHz	s	2,82            	2,83            	2,96            	3,08            	
500Hz-4kHz	s	2,51            	2,48            	2,63            	2,64            	

