EASERA 1.0, Results of Data:   u_ABS_5_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	5,27            	4,55            	5,18            	4,73            	
125 Hz    	s	4,95            	5,43            	5,43            	5,60            	
160 Hz    	s	5,12            	4,40            	4,84            	6,08            	
200 Hz    	s	4,77            	4,33            	5,28            	5,73            	
250 Hz    	s	5,38            	4,57            	4,94            	5,19            	
315 Hz    	s	5,18            	5,08            	5,19            	5,49            	
400 Hz    	s	4,90            	4,20            	4,44            	4,89            	
500 Hz    	s	5,05            	4,39            	4,64            	4,70            	
630 Hz    	s	4,79            	4,83            	4,67            	5,76            	
800 Hz    	s	4,42            	4,69            	4,87            	4,88            	
1000 Hz   	s	4,56            	4,64            	4,72            	4,64            	
1250 Hz   	s	4,10            	4,22            	4,16            	4,18            	
1600 Hz   	s	3,72            	3,77            	3,90            	3,90            	
2000 Hz   	s	3,69            	3,57            	3,60            	3,66            	
2500 Hz   	s	3,32            	3,39            	3,32            	3,31            	
3150 Hz   	s	3,07            	3,16            	3,08            	3,01            	
4000 Hz   	s	2,59            	2,70            	2,65            	2,65            	
5000 Hz   	s	2,12            	2,20            	2,22            	2,23            	
6300 Hz   	s	1,77            	1,65            	1,72            	1,76            	
8000 Hz   	s	1,28            	1,27            	1,34            	1,34            	
10000 Hz  	s	0,98            	0,96            	1,01            	1,03            	
250Hz-2kHz	s	4,49            	4,31            	4,48            	4,70            	
500Hz-4kHz	s	3,86            	3,81            	3,86            	3,98            	

