EASERA 1.0, Results of Data:   m_ABS_3_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	2,69            	2,79            	3,37            	3,90            	
125 Hz    	s	2,88            	3,90            	3,41            	3,38            	
160 Hz    	s	2,81            	3,24            	2,91            	3,21            	
200 Hz    	s	3,08            	3,09            	3,05            	3,47            	
250 Hz    	s	3,63            	3,80            	3,48            	3,48            	
315 Hz    	s	2,79            	2,85            	3,17            	3,34            	
400 Hz    	s	2,65            	2,80            	3,01            	3,09            	
500 Hz    	s	2,66            	2,89            	2,87            	2,93            	
630 Hz    	s	3,18            	3,13            	2,96            	3,04            	
800 Hz    	s	3,13            	2,80            	2,81            	2,89            	
1000 Hz   	s	3,06            	2,78            	2,87            	2,86            	
1250 Hz   	s	2,89            	2,64            	2,58            	2,53            	
1600 Hz   	s	2,49            	2,54            	2,57            	2,56            	
2000 Hz   	s	2,45            	2,43            	2,42            	2,45            	
2500 Hz   	s	2,33            	2,25            	2,34            	2,39            	
3150 Hz   	s	2,12            	2,16            	2,18            	2,19            	
4000 Hz   	s	2,10            	2,03            	2,00            	2,00            	
5000 Hz   	s	1,81            	1,64            	1,78            	1,79            	
6300 Hz   	s	1,43            	1,52            	1,51            	1,50            	
8000 Hz   	s	1,14            	1,21            	1,23            	1,20            	
10000 Hz  	s	0,88            	0,88            	0,93            	0,94            	
250Hz-2kHz	s	2,86            	2,83            	2,84            	2,92            	
500Hz-4kHz	s	2,57            	2,51            	2,53            	2,56            	

