EASERA 1.0, Results of Data:   m_ABS_Wall_5_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	4,12            	3,90            	3,99            	4,19            	
125 Hz    	s	3,47            	2,91            	3,41            	3,60            	
160 Hz    	s	3,21            	3,17            	3,39            	3,56            	
200 Hz    	s	3,40            	3,68            	3,44            	3,76            	
250 Hz    	s	3,93            	3,79            	3,64            	3,73            	
315 Hz    	s	2,98            	3,64            	3,68            	3,56            	
400 Hz    	s	3,35            	3,07            	3,05            	3,19            	
500 Hz    	s	2,87            	3,17            	3,09            	3,02            	
630 Hz    	s	3,24            	3,20            	3,18            	3,05            	
800 Hz    	s	3,20            	3,10            	3,07            	3,03            	
1000 Hz   	s	2,92            	2,81            	2,94            	2,94            	
1250 Hz   	s	2,76            	2,60            	2,61            	2,64            	
1600 Hz   	s	2,55            	2,48            	2,56            	2,53            	
2000 Hz   	s	2,45            	2,43            	2,61            	2,53            	
2500 Hz   	s	2,37            	2,23            	2,41            	2,42            	
3150 Hz   	s	2,45            	2,31            	2,17            	2,23            	
4000 Hz   	s	2,14            	2,14            	2,04            	2,06            	
5000 Hz   	s	1,82            	1,79            	1,78            	1,79            	
6300 Hz   	s	1,44            	1,43            	1,47            	1,50            	
8000 Hz   	s	1,20            	1,15            	1,19            	1,19            	
10000 Hz  	s	0,93            	0,93            	0,95            	0,95            	
250Hz-2kHz	s	3,00            	3,02            	3,02            	3,03            	
500Hz-4kHz	s	2,68            	2,61            	2,63            	2,62            	

