EASERA 1.0, Results of Data:   u_ABS_6_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	4,69            	4,65            	5,17            	4,67            	
125 Hz    	s	5,35            	5,42            	6,11            	6,48            	
160 Hz    	s	4,89            	4,24            	4,98            	5,60            	
200 Hz    	s	4,36            	4,22            	4,29            	5,73            	
250 Hz    	s	6,08            	4,99            	4,75            	5,31            	
315 Hz    	s	5,42            	4,47            	4,82            	5,04            	
400 Hz    	s	4,35            	4,90            	4,76            	4,73            	
500 Hz    	s	4,52            	4,53            	4,53            	4,84            	
630 Hz    	s	4,62            	4,49            	4,67            	4,82            	
800 Hz    	s	4,42            	5,22            	4,89            	4,79            	
1000 Hz   	s	4,77            	4,79            	4,51            	4,60            	
1250 Hz   	s	4,11            	4,24            	4,10            	4,13            	
1600 Hz   	s	4,00            	4,13            	3,85            	3,82            	
2000 Hz   	s	3,63            	3,57            	3,47            	3,45            	
2500 Hz   	s	3,37            	3,30            	3,28            	3,27            	
3150 Hz   	s	2,87            	3,12            	3,10            	3,06            	
4000 Hz   	s	2,68            	2,66            	2,61            	2,62            	
5000 Hz   	s	2,15            	2,12            	2,23            	2,24            	
6300 Hz   	s	1,77            	1,78            	1,82            	1,83            	
8000 Hz   	s	1,28            	1,34            	1,34            	1,36            	
10000 Hz  	s	0,95            	0,97            	0,98            	1,04            	
250Hz-2kHz	s	4,47            	4,40            	4,33            	4,54            	
500Hz-4kHz	s	3,79            	3,92            	3,83            	3,86            	

