EASERA 1.0, Results of Data:   m_ABS_5_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	3,40            	3,22            	3,17            	3,43            	
125 Hz    	s	2,73            	2,43            	3,11            	3,41            	
160 Hz    	s	3,58            	2,74            	3,06            	3,49            	
200 Hz    	s	2,91            	3,64            	3,32            	3,35            	
250 Hz    	s	3,42            	3,65            	3,33            	3,34            	
315 Hz    	s	3,13            	2,97            	3,55            	3,47            	
400 Hz    	s	3,03            	3,19            	3,42            	3,38            	
500 Hz    	s	2,94            	2,97            	3,14            	3,02            	
630 Hz    	s	2,96            	2,94            	3,07            	3,06            	
800 Hz    	s	2,71            	2,87            	2,89            	2,98            	
1000 Hz   	s	2,75            	2,57            	2,82            	2,82            	
1250 Hz   	s	2,23            	2,65            	2,64            	2,62            	
1600 Hz   	s	2,52            	2,65            	2,56            	2,52            	
2000 Hz   	s	2,28            	2,49            	2,49            	2,47            	
2500 Hz   	s	2,31            	2,17            	2,33            	2,42            	
3150 Hz   	s	2,07            	2,22            	2,16            	2,16            	
4000 Hz   	s	1,97            	2,01            	2,04            	2,02            	
5000 Hz   	s	1,76            	1,77            	1,81            	1,79            	
6300 Hz   	s	1,55            	1,48            	1,51            	1,50            	
8000 Hz   	s	1,23            	1,16            	1,18            	1,19            	
10000 Hz  	s	0,98            	0,92            	0,90            	0,91            	
250Hz-2kHz	s	2,77            	2,90            	2,96            	2,95            	
500Hz-4kHz	s	2,46            	2,54            	2,61            	2,61            	

