EASERA 1.0, Results of Data:   m_ABS_4_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	2,63            	2,55            	3,28            	3,01            	
125 Hz    	s	2,80            	2,70            	3,31            	3,35            	
160 Hz    	s	2,34            	2,17            	2,90            	2,55            	
200 Hz    	s	3,34            	2,99            	3,18            	3,71            	
250 Hz    	s	3,00            	2,37            	3,28            	3,48            	
315 Hz    	s	2,94            	3,64            	3,22            	3,26            	
400 Hz    	s	3,46            	3,24            	3,02            	3,03            	
500 Hz    	s	3,25            	2,82            	2,89            	2,98            	
630 Hz    	s	2,91            	2,87            	2,88            	2,88            	
800 Hz    	s	3,54            	2,93            	2,84            	2,81            	
1000 Hz   	s	3,29            	2,73            	2,81            	2,79            	
1250 Hz   	s	2,51            	2,49            	2,64            	2,62            	
1600 Hz   	s	2,42            	2,47            	2,42            	2,44            	
2000 Hz   	s	2,36            	2,19            	2,46            	2,48            	
2500 Hz   	s	2,33            	2,30            	2,39            	2,34            	
3150 Hz   	s	2,13            	2,23            	2,24            	2,21            	
4000 Hz   	s	2,08            	2,03            	1,98            	1,97            	
5000 Hz   	s	1,78            	1,77            	1,75            	1,78            	
6300 Hz   	s	1,54            	1,57            	1,47            	1,51            	
8000 Hz   	s	1,17            	1,14            	1,19            	1,21            	
10000 Hz  	s	0,96            	0,94            	0,93            	0,94            	
250Hz-2kHz	s	2,94            	2,75            	2,84            	2,90            	
500Hz-4kHz	s	2,67            	2,51            	2,53            	2,53            	

