EASERA 1.0, Results of Data:   m_ABS_Wall_2_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	1,97            	3,69            	3,31            	3,50            	
125 Hz    	s	3,38            	3,55            	3,15            	3,35            	
160 Hz    	s	3,50            	2,88            	3,61            	3,87            	
200 Hz    	s	3,20            	3,61            	3,48            	4,24            	
250 Hz    	s	3,54            	3,44            	3,49            	3,75            	
315 Hz    	s	3,15            	3,47            	3,28            	3,38            	
400 Hz    	s	2,59            	3,18            	3,17            	3,25            	
500 Hz    	s	2,95            	2,80            	2,90            	2,85            	
630 Hz    	s	3,00            	3,22            	2,80            	2,87            	
800 Hz    	s	2,71            	3,55            	3,16            	3,07            	
1000 Hz   	s	3,07            	2,93            	2,81            	2,85            	
1250 Hz   	s	2,57            	2,63            	2,67            	2,74            	
1600 Hz   	s	2,58            	2,57            	2,44            	2,47            	
2000 Hz   	s	2,40            	2,48            	2,56            	2,49            	
2500 Hz   	s	2,43            	2,38            	2,39            	2,42            	
3150 Hz   	s	2,37            	2,23            	2,25            	2,24            	
4000 Hz   	s	2,00            	1,97            	2,01            	2,03            	
5000 Hz   	s	1,69            	1,78            	1,84            	1,80            	
6300 Hz   	s	1,54            	1,55            	1,55            	1,53            	
8000 Hz   	s	1,20            	1,20            	1,16            	1,19            	
10000 Hz  	s	0,97            	0,96            	0,93            	0,93            	
250Hz-2kHz	s	2,85            	3,02            	2,93            	3,03            	
500Hz-4kHz	s	2,53            	2,64            	2,58            	2,59            	

