EASERA 1.0, Results of Data:   u_ABS_3_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	5,57            	7,15            	6,97            	7,05            	
125 Hz    	s	5,66            	6,37            	5,97            	5,97            	
160 Hz    	s	4,17            	4,67            	5,49            	6,33            	
200 Hz    	s	4,81            	3,94            	4,75            	5,54            	
250 Hz    	s	5,75            	5,39            	4,93            	5,37            	
315 Hz    	s	5,22            	5,53            	5,24            	5,36            	
400 Hz    	s	4,78            	4,71            	4,67            	4,82            	
500 Hz    	s	5,22            	4,82            	4,57            	4,78            	
630 Hz    	s	5,01            	4,78            	4,66            	4,96            	
800 Hz    	s	4,75            	5,02            	4,99            	4,88            	
1000 Hz   	s	5,04            	5,05            	4,66            	4,57            	
1250 Hz   	s	4,15            	4,09            	4,12            	4,12            	
1600 Hz   	s	3,79            	3,60            	3,80            	3,94            	
2000 Hz   	s	3,75            	3,42            	3,60            	3,66            	
2500 Hz   	s	3,24            	3,49            	3,46            	3,38            	
3150 Hz   	s	3,03            	3,00            	2,93            	2,96            	
4000 Hz   	s	2,68            	2,60            	2,57            	2,61            	
5000 Hz   	s	2,38            	2,27            	2,17            	2,17            	
6300 Hz   	s	1,77            	1,75            	1,77            	1,79            	
8000 Hz   	s	1,28            	1,31            	1,33            	1,32            	
10000 Hz  	s	0,98            	1,01            	1,01            	1,00            	
250Hz-2kHz	s	4,63            	4,48            	4,45            	4,61            	
500Hz-4kHz	s	3,98            	3,90            	3,85            	3,90            	

