EASERA 1.0, Results of Data:   m_ABS_Wall_3_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	2,73            	2,97            	3,07            	3,07            	
125 Hz    	s	2,47            	2,95            	3,10            	3,14            	
160 Hz    	s	2,24            	3,61            	2,85            	3,23            	
200 Hz    	s	3,11            	3,20            	3,02            	3,57            	
250 Hz    	s	3,58            	4,39            	3,63            	3,45            	
315 Hz    	s	2,86            	3,29            	3,61            	3,60            	
400 Hz    	s	3,03            	2,94            	3,08            	3,27            	
500 Hz    	s	2,82            	3,49            	3,18            	3,09            	
630 Hz    	s	3,33            	3,10            	2,83            	3,03            	
800 Hz    	s	2,90            	2,99            	3,09            	3,09            	
1000 Hz   	s	3,29            	2,72            	2,76            	3,12            	
1250 Hz   	s	2,73            	2,65            	2,59            	2,67            	
1600 Hz   	s	2,85            	2,37            	2,42            	2,52            	
2000 Hz   	s	2,53            	2,34            	2,47            	2,46            	
2500 Hz   	s	2,39            	2,40            	2,42            	2,42            	
3150 Hz   	s	2,12            	2,20            	2,22            	2,23            	
4000 Hz   	s	1,98            	1,99            	2,07            	2,06            	
5000 Hz   	s	1,81            	1,82            	1,84            	1,83            	
6300 Hz   	s	1,50            	1,46            	1,52            	1,51            	
8000 Hz   	s	1,15            	1,15            	1,18            	1,18            	
10000 Hz  	s	0,91            	0,93            	0,94            	0,94            	
250Hz-2kHz	s	2,95            	2,99            	2,92            	3,03            	
500Hz-4kHz	s	2,65            	2,58            	2,58            	2,65            	

