EASERA 1.0, Results of Data:   u_ABS_4_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	5,33            	6,10            	5,91            	6,29            	
125 Hz    	s	5,19            	5,83            	5,73            	5,99            	
160 Hz    	s	5,35            	5,17            	5,18            	5,68            	
200 Hz    	s	5,14            	3,95            	5,34            	6,13            	
250 Hz    	s	4,40            	4,77            	5,07            	5,38            	
315 Hz    	s	4,78            	4,79            	4,95            	5,16            	
400 Hz    	s	4,16            	4,72            	4,99            	5,06            	
500 Hz    	s	4,47            	4,97            	4,92            	4,68            	
630 Hz    	s	4,21            	4,69            	4,73            	4,68            	
800 Hz    	s	5,26            	5,16            	4,84            	4,76            	
1000 Hz   	s	4,66            	5,02            	4,49            	4,58            	
1250 Hz   	s	4,04            	4,19            	4,26            	4,11            	
1600 Hz   	s	3,78            	4,04            	3,95            	3,77            	
2000 Hz   	s	3,71            	3,69            	3,63            	3,57            	
2500 Hz   	s	3,31            	3,17            	3,16            	3,26            	
3150 Hz   	s	2,99            	3,00            	2,90            	2,95            	
4000 Hz   	s	2,58            	2,56            	2,68            	2,70            	
5000 Hz   	s	2,27            	2,14            	2,18            	2,18            	
6300 Hz   	s	1,78            	1,72            	1,77            	1,82            	
8000 Hz   	s	1,28            	1,32            	1,35            	1,36            	
10000 Hz  	s	0,99            	0,97            	1,02            	1,02            	
250Hz-2kHz	s	4,33            	4,43            	4,53            	4,59            	
500Hz-4kHz	s	3,79            	3,95            	3,89            	3,86            	

