EASERA 1.0, Results of Data:   m_ABS_Wall_6_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	3,47            	2,92            	3,63            	4,05            	
125 Hz    	s	2,80            	3,32            	3,38            	3,68            	
160 Hz    	s	3,37            	2,58            	2,87            	3,09            	
200 Hz    	s	3,26            	3,45            	3,40            	3,59            	
250 Hz    	s	4,51            	3,53            	3,46            	3,68            	
315 Hz    	s	3,62            	3,79            	3,48            	3,46            	
400 Hz    	s	3,33            	2,97            	3,09            	3,08            	
500 Hz    	s	3,60            	3,16            	3,04            	3,05            	
630 Hz    	s	3,14            	2,90            	2,81            	2,84            	
800 Hz    	s	2,98            	2,85            	3,11            	3,06            	
1000 Hz   	s	2,77            	2,57            	3,00            	2,92            	
1250 Hz   	s	2,85            	2,67            	2,62            	2,62            	
1600 Hz   	s	2,50            	2,53            	2,62            	2,58            	
2000 Hz   	s	2,48            	2,48            	2,54            	2,49            	
2500 Hz   	s	2,32            	2,32            	2,44            	2,38            	
3150 Hz   	s	2,23            	2,14            	2,25            	2,25            	
4000 Hz   	s	2,19            	2,05            	1,96            	1,99            	
5000 Hz   	s	1,84            	1,77            	1,86            	1,84            	
6300 Hz   	s	1,49            	1,51            	1,58            	1,56            	
8000 Hz   	s	1,14            	1,19            	1,21            	1,22            	
10000 Hz  	s	0,89            	0,94            	0,96            	0,95            	
250Hz-2kHz	s	3,11            	2,94            	2,97            	2,98            	
500Hz-4kHz	s	2,69            	2,53            	2,61            	2,59            	

