EASERA 1.0, Results of Data:   m_ABS_2_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	1,82            	3,47            	2,76            	2,29            	
125 Hz    	s	3,53            	3,41            	2,98            	2,99            	
160 Hz    	s	3,25            	2,76            	3,22            	3,11            	
200 Hz    	s	2,50            	3,73            	3,17            	3,09            	
250 Hz    	s	3,14            	3,52            	3,27            	3,31            	
315 Hz    	s	2,94            	3,09            	3,08            	3,12            	
400 Hz    	s	2,83            	2,90            	2,98            	3,04            	
500 Hz    	s	3,13            	2,87            	2,81            	2,87            	
630 Hz    	s	2,92            	2,60            	2,82            	2,97            	
800 Hz    	s	2,68            	2,74            	2,94            	3,03            	
1000 Hz   	s	2,83            	2,71            	2,70            	2,76            	
1250 Hz   	s	2,68            	2,48            	2,44            	2,55            	
1600 Hz   	s	2,64            	2,41            	2,45            	2,48            	
2000 Hz   	s	2,39            	2,44            	2,45            	2,46            	
2500 Hz   	s	2,32            	2,44            	2,27            	2,37            	
3150 Hz   	s	2,30            	2,06            	2,13            	2,22            	
4000 Hz   	s	1,99            	1,89            	1,96            	1,98            	
5000 Hz   	s	1,73            	1,67            	1,72            	1,75            	
6300 Hz   	s	1,50            	1,50            	1,45            	1,46            	
8000 Hz   	s	1,19            	1,14            	1,19            	1,19            	
10000 Hz  	s	0,92            	0,94            	0,91            	0,91            	
250Hz-2kHz	s	2,75            	2,83            	2,78            	2,84            	
500Hz-4kHz	s	2,54            	2,44            	2,47            	2,54            	

